subcategory,metric,version_terms,version_chi2,version_df,version_p,version_effect_size,mode_terms,mode_chi2,mode_df,mode_p,mode_effect_size,interaction_terms,interaction_chi2,interaction_df,interaction_p,interaction_effect_size,recommendation_category,subcat_coef,subcat_t,subcat_df,subcat_p,subcat_p_fdr,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcat_effect_size_type,n_subjects,subcategory_overall_chi2,subcategory_overall_p,subcategory_df,n_subjects_overall,subcategory_overall_effect_size,effect_size_type,version_p_fdr,mode_p_fdr,interaction_p_fdr,version_sig,mode_sig,interaction_sig,subcat_vs_category_mean_sig,subcategory_overall_sig
101,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",1.2580029269773714e-30,2,1.0,1.8693454937322697e-16,"C(mode, Sum)[S.0]",1.6128964484416186,1,0.2040851282182112,0.21166643362464982,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.24489968869051293,2,0.8847502790601985,0.0824789011219962,1,-0.638888888888889,-3.6872475361064887,11,0.003580292559697912,0.01615841372322765,-1.0202532940763898,-0.2575244837013882,-1.0644166787699327,Cohen_dz,12,15.978609625668435,0.003048001051186947,4,12,0.3328877005347591,Kendall_W,1.0,0.4081702564364224,0.8847502790601985,False,False,False,True,True
102,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",0.2517481636837714,2,0.881725865090553,0.08362418637434643,"C(mode, Sum)[S.0]",3.84615407039107,1,0.04986019709002573,0.3268602347585564,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.25174816368377023,2,0.8817258650905535,0.08362418637434624,1,-0.5347222222222222,-2.1309069581397533,11,0.05649054913607404,0.07061318642009255,-1.0870296194936244,0.017585175049180002,-0.6151398529500166,Cohen_dz,12,15.978609625668435,0.003048001051186947,4,12,0.3328877005347591,Kendall_W,0.97969540565617,0.12465049272506433,0.8847502790601985,False,False,False,False,True
103,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",2.043954334979193,2,0.35988268793346884,0.2382782182764039,"C(mode, Sum)[S.0]",5.358140910133259,1,0.02062575015330587,0.38579430724636365,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.8571421404751434,2,0.6514392909637676,0.1543032854546115,1,-0.5,-2.493971789727806,11,0.029824186696475134,0.04970697782745856,-0.9412610377447705,-0.0587389622552294,-0.7199476420753408,Cohen_dz,12,15.978609625668435,0.003048001051186947,4,12,0.3328877005347591,Kendall_W,0.449853359916836,0.06875250051101957,0.828280161721382,False,False,False,True,True
104,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",7.354836158140836,2,0.02528818270641962,0.4519966862630754,"C(mode, Sum)[S.0]",14.639005160870278,1,0.0001301919108976686,0.6376825481745574,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",3.152072639203216,2,0.20679313781698094,0.2959012898099643,1,-0.2916666666666667,-1.1157077104466546,11,0.2883276894264598,0.2883276894264598,-0.867044966030752,0.28371163269741867,-0.32207707348165854,Cohen_dz,12,15.978609625668435,0.003048001051186947,4,12,0.3328877005347591,Kendall_W,0.06580834589521209,0.0013019191089766859,0.5169828445424524,False,True,False,False,True
105,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",7.274598686509878,2,0.026323338358084838,0.4495243994894888,"C(mode, Sum)[S.0]",5.895361734868401,1,0.015180811170300812,0.40467276680150954,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",9.76164097249616,2,0.007590783338488365,0.520727081762077,1,1.965277777777778,3.351241155353945,11,0.006463365489291061,0.01615841372322765,0.6745478589776381,3.2560076965779174,0.9674199915814763,Cohen_dz,12,15.978609625668435,0.003048001051186947,4,12,0.3328877005347591,Kendall_W,0.06580834589521209,0.06875250051101957,0.07590783338488365,False,False,False,True,True
201,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",28.201825283921366,2,7.517119422041543e-07,0.8850898460972662,"C(mode, Sum)[S.0]",0.26087305745937944,1,0.6095209861876387,0.08512622285944617,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.8230947471497793,2,0.6626241293771056,0.15120761547085768,2,0.006944444444444457,0.022473844683179128,11,0.9824724711170487,0.9824724711170487,-0.6731625591730864,0.6870514480619753,0.006487640138779653,Cohen_dz,12,5.592920353982285,0.23168164331422664,4,12,0.1165191740412976,Kendall_W,7.517119422041543e-06,0.6095209861876387,0.828280161721382,True,False,False,False,False
202,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",6.400048273317558,2,0.040761220126831206,0.4216386114948031,"C(mode, Sum)[S.0]",0.33264756196063605,1,0.5641042508160398,0.09612601133128386,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",1.6000120683293846,2,0.44932625280043137,0.21081930574740124,2,0.0069444444444444935,0.030202347143056228,11,0.9764466942626322,0.9824724711170487,-0.4991294409673676,0.5130183298562566,0.00871866662660102,Cohen_dz,12,5.592920353982285,0.23168164331422664,4,12,0.1165191740412976,Kendall_W,0.08152244025366241,0.6095209861876387,0.748877088000719,False,False,False,False,False
203,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",3.2347288388336115,2,0.19842096498697864,0.29975586542466387,"C(mode, Sum)[S.0]",0.826545998013343,1,0.36327319495116916,0.1515242919664243,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",4.486881937736955,2,0.10609281350617705,0.3530376883302717,2,0.11111111111111112,0.3195123895146545,11,0.7553240612921137,0.9824724711170487,-0.654286146401705,0.8765083686239273,0.09223528204785317,Cohen_dz,12,5.592920353982285,0.23168164331422664,4,12,0.1165191740412976,Kendall_W,0.3307016083116311,0.45409149368896146,0.35364271168725686,False,False,False,False,False
204,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",14.91729326256199,2,0.0005764357739684812,0.643715198898852,"C(mode, Sum)[S.0]",1.1278195487911395,1,0.28824091135339414,0.17699808134483797,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",2.526315794466133,2,0.2827596890903715,0.2649064716747599,2,0.5624999999999999,1.7846826094343262,11,0.1018839894373959,0.25470997359348974,-0.13121110919216783,1.2562111091921677,0.515193492487476,Cohen_dz,12,5.592920353982285,0.23168164331422664,4,12,0.1165191740412976,Kendall_W,0.002882178869842406,0.4286392373220141,0.565519378180743,True,False,False,False,False
205,disturbance,"C(version, Treatment(reference='default'))[T.personalized]; C(version, Treatment(reference='default'))[T.personified]",2.633102571739772,2,0.26805816568828905,0.2704472926540078,"C(mode, Sum)[S.0]",1.0739831967394642,1,0.30004746612540983,0.17272193426457516,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]; C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",5.4820332231303635,2,0.06450473728714186,0.390229036134563,2,-0.6874999999999999,-1.9518479936921902,11,0.07687521108578513,0.25470997359348974,-1.462753658300841,0.08775365830084114,-0.5634499822877085,Cohen_dz,12,5.592920353982285,0.23168164331422664,4,12,0.1165191740412976,Kendall_W,0.38294023669755584,0.4286392373220141,0.3225236864357093,False,False,False,False,False
