subcategory,metric,term,coef,stat,pval,ci_low,ci_high,effect_size,converged,n_obs,n_subjects,pval_fdr
103,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.0833333333333336,-0.3077936920550707,0.7582393217474181,-0.6139820641584665,0.44731539749179927,-0.06085162296050664,True,36,12,0.8529620362579436
103,satisfaction,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-2.991434260795562e-16,-1.1048935148043529e-15,0.9999999999999991,-0.5306487308251332,0.5306487308251325,-2.184403556988874e-16,True,36,12,0.9999999999999991
103,satisfaction,Group Var,0.9052676591901592,1.4617547884738253,0.14380841752383794,-0.30854194989898054,2.119077268279299,0.6610440753045578,True,36,12,0.3961563831840582
104,appropriateness,Intercept,5.666666666666668,14.722433180066323,4.62707476149254e-49,4.912276244701766,6.42105708863157,3.27165152540788,True,36,12,1.156768690373135e-48
104,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]",0.24999999999999847,0.475664466398802,0.6343134398213315,-0.7801189824934236,1.2801189824934205,0.14433756729740557,True,36,12,0.6343134398213315
104,appropriateness,"C(version, Treatment(reference='default'))[T.personified]",0.24999999999999847,0.47566446639880194,0.6343134398213315,-0.7801189824934238,1.2801189824934207,0.14433756729740557,True,36,12,0.7928917997766644
104,appropriateness,"C(mode, Sum)[S.0]",1.1666666666666659,3.0310891841312992,0.0024367326228096546,0.4122762447017638,1.9210570886315679,0.673575314054563,True,36,12,0.024367326228096543
104,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.08333333333333275,-0.15855482213293387,0.8740196251258052,-1.1134523158267549,0.9467856491600893,-0.048112522432468476,True,36,12,0.8740196251258052
104,appropriateness,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-0.24999999999999942,-0.4756644663988037,0.6343134398213304,-1.2801189824934216,0.7801189824934228,-0.1443375672974061,True,36,12,0.8344340904352427
104,appropriateness,Group Var,0.07262409080292061,0.35779260682828823,0.7204985237186773,-0.32520582425735073,0.4704540058631919,0.04192953837471804,True,36,12,0.9999999967145141
104,disturbance,Intercept,2.6666666666666687,8.745360660679639,2.223044106743713e-18,2.069027435052181,3.2643058982811564,1.8726583551380906,True,36,12,5.557610266859283e-18
104,disturbance,"C(version, Treatment(reference='default'))[T.personalized]",-1.0000000000000022,-2.443838815979954,0.014531917329085334,-1.8020021499470857,-0.1979978500529186,-0.702246883176785,True,36,12,0.029063834658170667
104,disturbance,"C(version, Treatment(reference='default'))[T.personified]",-0.916666666666669,-2.2401855813149583,0.025078877338248724,-1.7186688166137527,-0.11466451671958533,-0.6437263095787198,True,36,12,0.08359625779416241
104,disturbance,"C(mode, Sum)[S.0]",-1.1666666666666683,-3.8260952890473443,0.00013019191089766826,-1.764305898281156,-0.5690274350521806,-0.8192880303729152,True,36,12,0.0013019191089766826
104,disturbance,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.6666666666666682,1.6292258773199695,0.10326521079732916,-0.13533548328041545,1.4686688166137518,0.4681645887845234,True,36,12,0.2581630269933229
104,disturbance,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.5833333333333349,1.425572642654974,0.15399173770850783,-0.2186688166137487,1.3853354832804186,0.40964401518645815,True,36,12,0.6928344800523383
104,disturbance,Group Var,0.1105986163149694,0.4982686789728545,0.6182946808542222,-0.3244463982826943,0.545643630912633,0.07766753359085221,True,36,12,0.7424845821081302
104,satisfaction,Intercept,5.6666666666666625,16.79709820482827,2.562788364310467e-63,5.005453494985153,6.3278798383481725,3.4893759913353555,True,36,12,8.54262788103489e-63
104,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]",0.250000000000005,0.5560212613330789,0.5781963202771103,-0.6312450713849526,1.1312450713849627,0.15394305844126888,True,36,12,0.6424403558634559
104,satisfaction,"C(version, Treatment(reference='default'))[T.personified]",0.3333333333333383,0.7413616817774348,0.45847417140437474,-0.5479117380516192,1.214578404718296,0.20525741125502414,True,36,12,0.7641236190072913
104,satisfaction,"C(mode, Sum)[S.0]",1.1666666666666656,3.4582261009940547,0.0005437448459433392,0.5054534949851556,1.8278798383481756,0.7184009393925731,True,36,12,0.002718724229716696
104,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.08333333333333252,-0.18534042044435414,0.8529620362579436,-0.96457840471829,0.7979117380516251,-0.051314352813754766,True,36,12,0.8529620362579436
104,satisfaction,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-0.16666666666666585,-0.37068084088871006,0.7108752620713441,-1.0479117380516234,0.7145784047182917,-0.10262870562751003,True,36,12,0.9999999999999991
104,satisfaction,Group Var,0.1259512468024267,0.5484694756953674,0.5833695829422203,-0.3241374426869838,0.5760399362918371,0.07755728058902506,True,36,12,0.6481884254913559
105,appropriateness,Intercept,3.083333333333334,6.897204402435806,5.303584644339734e-12,2.2071490225521497,3.959517644114518,1.6432739923355402,True,36,12,6.629480805424667e-12
105,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]",0.5833333333333319,0.9226870281618148,0.3561703277835824,-0.655778401653065,1.8224450683197289,0.3108896742256419,True,36,12,0.46964211928577604
105,appropriateness,"C(version, Treatment(reference='default'))[T.personified]",-6.707597440213887e-16,-1.060973682551445e-15,0.9999999999999991,-1.2391117349863976,1.2391117349863963,-3.5748390566140285e-16,True,36,12,0.9999999999999994
105,appropriateness,"C(mode, Sum)[S.0]",-1.0833333333333335,-2.42334208734231,0.015378437592800604,-1.959517644114518,-0.20714902255214906,-0.5773665378476222,True,36,12,0.07689218796400302
105,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.7500000000000003,1.1863118933509083,0.23549915151099576,-0.4891117349863966,1.9891117349863974,0.3997152954329693,True,36,12,0.6006038107637575
105,appropriateness,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-0.1666666666666661,-0.2636248651890897,0.792068996476939,-1.405778401653063,1.0724450683197309,-0.08882562120732618,True,36,12,0.8344340904352427
105,appropriateness,Group Var,7.406545072682512e-10,4.117745924139199e-09,0.9999999967145141,-0.3525366020456128,0.3525366035269218,3.9473458024865227e-10,True,36,12,0.9999999967145141
